zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60642,10,03/01/2020,03/07/2020,,,1,1,0,0
60707,17,04/19/2020,04/25/2020,4.0,39.0,111,386,0,2
60606,13,03/22/2020,03/28/2020,,,15,33,0,0
60666,12,03/15/2020,03/21/2020,,,0,0,0,0
60634,12,03/15/2020,03/21/2020,9.0,9.0,67,74,0,0
60827,11,03/08/2020,03/14/2020,,,0,0,0,0
60612,16,04/12/2020,04/18/2020,63.0,266.0,222,935,3,10
60609,12,03/15/2020,03/21/2020,11.0,12.0,61,68,0,0
60645,16,04/12/2020,04/18/2020,122.0,456.0,339,1181,8,17
60632,16,04/12/2020,04/18/2020,235.0,433.0,457,1052,1,10
60631,13,03/22/2020,03/28/2020,10.0,19.0,187,215,0,0
60666,11,03/08/2020,03/14/2020,,,0,0,0,0
60622,17,04/19/2020,04/25/2020,64.0,277.0,236,1003,10,22
60651,11,03/08/2020,03/14/2020,,,8,8,0,0
60644,16,04/12/2020,04/18/2020,84.0,366.0,272,925,6,15
60621,13,03/22/2020,03/28/2020,20.0,29.0,70,127,1,1
60654,15,04/05/2020,04/11/2020,43.0,81.0,81,232,0,0
60608,10,03/01/2020,03/07/2020,,,2,2,0,0
60645,18,04/26/2020,05/02/2020,92.0,673.0,479,1964,11,39
60633,10,03/01/2020,03/07/2020,,,0,0,0,0
60639,11,03/08/2020,03/14/2020,,,8,9,0,0
60615,15,04/05/2020,04/11/2020,48.0,136.0,164,585,0,4
60651,16,04/12/2020,04/18/2020,120.0,377.0,332,1013,5,18
60656,20,05/10/2020,05/16/2020,26.0,197.0,171,1253,0,5
60610,15,04/05/2020,04/11/2020,21.0,97.0,99,388,1,1
60619,18,04/26/2020,05/02/2020,81.0,613.0,531,2269,5,36
60625,11,03/08/2020,03/14/2020,,,11,13,0,0
60629,10,03/01/2020,03/07/2020,,,1,1,0,0
60642,19,05/03/2020,05/09/2020,12.0,105.0,113,588,3,4
60610,20,05/10/2020,05/16/2020,28.0,202.0,317,1328,1,6
60622,15,04/05/2020,04/11/2020,74.0,165.0,195,554,2,3
60636,15,04/05/2020,04/11/2020,76.0,178.0,107,399,9,17
60827,16,04/12/2020,04/18/2020,3.0,15.0,15,59,0,1
60649,15,04/05/2020,04/11/2020,89.0,207.0,168,643,12,22
60660,19,05/03/2020,05/09/2020,33.0,283.0,165,1114,8,29
60624,15,04/05/2020,04/11/2020,108.0,238.0,193,595,4,9
60618,14,03/29/2020,04/04/2020,67.0,107.0,199,499,0,0
60659,13,03/22/2020,03/28/2020,36.0,51.0,131,198,1,1
60637,10,03/01/2020,03/07/2020,,,1,1,0,0
60636,20,05/10/2020,05/16/2020,74.0,558.0,344,1713,2,40
60605,11,03/08/2020,03/14/2020,,,18,18,0,0
60652,15,04/05/2020,04/11/2020,76.0,163.0,135,436,3,6
60654,10,03/01/2020,03/07/2020,,,1,1,0,0
60612,20,05/10/2020,05/16/2020,56.0,542.0,390,2317,2,18
60647,15,04/05/2020,04/11/2020,71.0,143.0,239,716,0,1
60644,20,05/10/2020,05/16/2020,108.0,916.0,487,3286,6,53
60631,20,05/10/2020,05/16/2020,33.0,215.0,250,1594,2,7
60652,20,05/10/2020,05/16/2020,93.0,671.0,427,2345,9,21
60613,20,05/10/2020,05/16/2020,14.0,314.0,219,1521,3,22
60615,19,05/03/2020,05/09/2020,34.0,278.0,282,1486,1,11
60638,18,04/26/2020,05/02/2020,185.0,554.0,582,2011,10,17
60616,19,05/03/2020,05/09/2020,38.0,302.0,305,1466,3,31
60603,19,05/03/2020,05/09/2020,0.0,5.0,5,34,0,0
60639,20,05/10/2020,05/16/2020,377.0,2403.0,1122,6216,7,68
60602,12,03/15/2020,03/21/2020,,,3,3,0,0
60626,12,03/15/2020,03/21/2020,12.0,12.0,89,95,0,0
60628,14,03/29/2020,04/04/2020,110.0,204.0,311,652,8,9
60630,11,03/08/2020,03/14/2020,,,6,6,0,0
60655,14,03/29/2020,04/04/2020,28.0,48.0,167,341,1,1
60641,17,04/19/2020,04/25/2020,157.0,440.0,517,1516,5,16
60603,14,03/29/2020,04/04/2020,,,4,8,0,0
60602,13,03/22/2020,03/28/2020,,,3,6,0,0
60827,12,03/15/2020,03/21/2020,,,8,8,0,0
