industry_id,zip_code,value
All industries,60601,"83,381"
All industries,60602,"26,463"
All industries,60603,"56,667"
All industries,60604,"36,249"
All industries,60606,"139,075"
All industries,60607,"48,948"
All industries,60608,"30,651"
All industries,60609,"16,738"
All industries,60610,"86,392"
All industries,60611,"92,449"
All industries,60612,"24,102"
All industries,60613,"14,389"
All industries,60614,"31,087"
All industries,60615,"5,375"
All industries,60616,"20,866"
All industries,60617,"11,245"
All industries,60618,"22,165"
All industries,60619,"5,572"
All industries,60620,"6,498"
All industries,60621,"2,380"
All industries,60622,"26,580"
All industries,60623,"10,810"
All industries,60624,"5,674"
All industries,60625,"11,197"
All industries,60626,"8,756"
All industries,60627,43
All industries,60628,"5,261"
All industries,60629,"7,235"
All industries,60630,"9,203"
All industries,60631,"21,087"
All industries,60632,"24,863"
All industries,60633,"7,498"
All industries,60634,"9,012"
All industries,60635,"3,081"
All industries,60636,"3,598"
All industries,60637,"24,441"
All industries,60638,"22,423"
All industries,60639,"13,419"
All industries,60640,"18,570"
All industries,60641,"11,533"
All industries,60643,"6,656"
All industries,60644,"5,549"
All industries,60645,"8,113"
All industries,60646,"8,430"
All industries,60647,"20,401"
All industries,60649,"3,992"
All industries,60651,"5,735"
All industries,60652,"5,665"
All industries,60653,"2,917"
All industries,60655,"3,286"
All industries,60656,"4,312"
All industries,60657,"17,574"
All industries,60659,"7,910"
All industries,60660,"10,197"
All industries,60661,"32,151"
All industries,60666,"35,547"
"Agriculture, forestry, fishing, & hunting",60601,0
"Agriculture, forestry, fishing, & hunting",60602,0
"Agriculture, forestry, fishing, & hunting",60603,0
"Agriculture, forestry, fishing, & hunting",60604,0
"Agriculture, forestry, fishing, & hunting",60606,0
"Agriculture, forestry, fishing, & hunting",60607,10
"Agriculture, forestry, fishing, & hunting",60608,0
"Agriculture, forestry, fishing, & hunting",60609,0
"Agriculture, forestry, fishing, & hunting",60610,0
"Agriculture, forestry, fishing, & hunting",60611,0
"Agriculture, forestry, fishing, & hunting",60612,0
"Agriculture, forestry, fishing, & hunting",60613,0
"Agriculture, forestry, fishing, & hunting",60614,0
"Agriculture, forestry, fishing, & hunting",60615,0
"Agriculture, forestry, fishing, & hunting",60616,0
"Agriculture, forestry, fishing, & hunting",60617,0
"Agriculture, forestry, fishing, & hunting",60618,0
"Agriculture, forestry, fishing, & hunting",60619,0
"Agriculture, forestry, fishing, & hunting",60620,0
"Agriculture, forestry, fishing, & hunting",60621,0
"Agriculture, forestry, fishing, & hunting",60622,0
"Agriculture, forestry, fishing, & hunting",60623,0
"Agriculture, forestry, fishing, & hunting",60624,0
"Agriculture, forestry, fishing, & hunting",60625,0
"Agriculture, forestry, fishing, & hunting",60626,0
"Agriculture, forestry, fishing, & hunting",60627,0
"Agriculture, forestry, fishing, & hunting",60628,0
"Agriculture, forestry, fishing, & hunting",60629,0
"Agriculture, forestry, fishing, & hunting",60630,0
"Agriculture, forestry, fishing, & hunting",60631,0
"Agriculture, forestry, fishing, & hunting",60632,0
"Agriculture, forestry, fishing, & hunting",60633,0
"Agriculture, forestry, fishing, & hunting",60634,0
"Agriculture, forestry, fishing, & hunting",60635,0
"Agriculture, forestry, fishing, & hunting",60636,0
"Agriculture, forestry, fishing, & hunting",60637,0
"Agriculture, forestry, fishing, & hunting",60638,0
"Agriculture, forestry, fishing, & hunting",60639,0
"Agriculture, forestry, fishing, & hunting",60640,0
