state,county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Illinois,Cook County,2020-02-15,5.0,1.0,17.0,3.0,2.0,-1.0
Illinois,Cook County,2020-02-16,9.0,2.0,40.0,2.0,1.0,-2.0
Illinois,Cook County,2020-02-17,2.0,-4.0,-18.0,-15.0,-24.0,6.0
Illinois,Cook County,2020-02-18,1.0,0.0,6.0,2.0,1.0,0.0
Illinois,Cook County,2020-02-19,1.0,-2.0,1.0,1.0,1.0,0.0
Illinois,Cook County,2020-02-20,0.0,0.0,1.0,0.0,2.0,0.0
Illinois,Cook County,2020-02-21,2.0,0.0,8.0,3.0,3.0,-1.0
Illinois,Cook County,2020-02-22,11.0,7.0,64.0,10.0,6.0,-3.0
Illinois,Cook County,2020-02-23,11.0,9.0,118.0,6.0,3.0,-2.0
Illinois,Cook County,2020-02-24,2.0,5.0,-1.0,1.0,2.0,0.0
Illinois,Cook County,2020-02-25,-1.0,-2.0,-3.0,-3.0,1.0,1.0
Illinois,Cook County,2020-02-26,-1.0,-2.0,-3.0,-2.0,-2.0,1.0
Illinois,Cook County,2020-02-27,4.0,3.0,3.0,1.0,2.0,0.0
Illinois,Cook County,2020-02-28,7.0,3.0,9.0,5.0,1.0,-2.0
Illinois,Cook County,2020-02-29,14.0,8.0,29.0,9.0,5.0,-3.0
Illinois,Cook County,2020-03-01,17.0,13.0,121.0,9.0,3.0,-3.0
Illinois,Cook County,2020-03-02,8.0,6.0,18.0,-1.0,-2.0,0.0
Illinois,Cook County,2020-03-03,9.0,8.0,16.0,0.0,1.0,-1.0
Illinois,Cook County,2020-03-04,8.0,8.0,22.0,2.0,1.0,-1.0
Illinois,Cook County,2020-03-05,6.0,8.0,17.0,0.0,2.0,-1.0
Illinois,Cook County,2020-03-06,5.0,3.0,15.0,0.0,2.0,-1.0
Illinois,Cook County,2020-03-07,14.0,11.0,77.0,11.0,6.0,-3.0
Illinois,Cook County,2020-03-08,15.0,14.0,178.0,7.0,2.0,-3.0
Illinois,Cook County,2020-03-09,-1.0,1.0,-6.0,-6.0,-1.0,1.0
Illinois,Cook County,2020-03-10,6.0,9.0,18.0,-4.0,0.0,0.0
Illinois,Cook County,2020-03-11,5.0,10.0,10.0,-5.0,-1.0,1.0
Illinois,Cook County,2020-03-12,6.0,30.0,18.0,-8.0,-2.0,1.0
Illinois,Cook County,2020-03-13,4.0,43.0,16.0,-11.0,-5.0,1.0
Illinois,Cook County,2020-03-14,-8.0,29.0,-9.0,-11.0,-1.0,3.0
Illinois,Cook County,2020-03-15,-12.0,21.0,28.0,-19.0,-8.0,4.0
Illinois,Cook County,2020-03-16,-13.0,25.0,-25.0,-33.0,-23.0,9.0
Illinois,Cook County,2020-03-17,-24.0,13.0,36.0,-39.0,-36.0,13.0
Illinois,Cook County,2020-03-18,-36.0,3.0,-43.0,-48.0,-40.0,17.0
Illinois,Cook County,2020-03-19,-36.0,15.0,-41.0,-52.0,-42.0,19.0
Illinois,Cook County,2020-03-20,-36.0,20.0,-37.0,-50.0,-43.0,19.0
Illinois,Cook County,2020-03-21,-49.0,0.0,-32.0,-48.0,-30.0,14.0
Illinois,Cook County,2020-03-22,-65.0,-35.0,-40.0,-62.0,-43.0,15.0
Illinois,Cook County,2020-03-23,-53.0,-25.0,-38.0,-64.0,-55.0,23.0
Illinois,Cook County,2020-03-24,-49.0,-19.0,-19.0,-62.0,-55.0,24.0
Illinois,Cook County,2020-03-25,-46.0,-16.0,19.0,-59.0,-55.0,23.0
Illinois,Cook County,2020-03-26,-51.0,-18.0,-48.0,-64.0,-56.0,25.0
Illinois,Cook County,2020-03-27,-51.0,-17.0,-47.0,-62.0,-55.0,25.0
Illinois,Cook County,2020-03-28,-56.0,-19.0,-49.0,-58.0,-40.0,17.0
Illinois,Cook County,2020-03-29,-58.0,-26.0,-45.0,-63.0,-45.0,15.0
Illinois,Cook County,2020-03-30,-47.0,-20.0,-34.0,-63.0,-56.0,22.0
Illinois,Cook County,2020-03-31,-48.0,-20.0,-48.0,-63.0,-57.0,24.0
Illinois,Cook County,2020-04-01,-44.0,-11.0,-22.0,-60.0,-57.0,24.0
Illinois,Cook County,2020-04-02,-46.0,-11.0,-12.0,-62.0,-57.0,24.0
Illinois,Cook County,2020-04-03,-46.0,-10.0,-5.0,-58.0,-56.0,24.0
Illinois,Cook County,2020-04-04,-54.0,-15.0,-39.0,-56.0,-41.0,17.0
Illinois,Cook County,2020-04-05,-54.0,-20.0,0.0,-61.0,-45.0,14.0
Illinois,Cook County,2020-04-06,-48.0,-19.0,-26.0,-63.0,-57.0,23.0
Illinois,Cook County,2020-04-07,-45.0,-15.0,10.0,-60.0,-58.0,23.0
Illinois,Cook County,2020-04-08,-48.0,-19.0,-29.0,-63.0,-58.0,24.0
Illinois,Cook County,2020-04-09,-49.0,-13.0,-42.0,-64.0,-59.0,25.0
Illinois,Cook County,2020-04-10,-48.0,-9.0,-26.0,-62.0,-62.0,27.0
Illinois,Cook County,2020-04-11,-51.0,-9.0,-6.0,-53.0,-43.0,16.0
Illinois,Cook County,2020-04-12,-66.0,-31.0,-4.0,-61.0,-49.0,14.0
Illinois,Cook County,2020-04-13,-51.0,-24.0,-44.0,-65.0,-57.0,24.0
Illinois,Cook County,2020-04-14,-50.0,-23.0,-44.0,-64.0,-57.0,25.0
Illinois,Cook County,2020-04-15,-48.0,-21.0,-49.0,-63.0,-57.0,25.0
Illinois,Cook County,2020-04-16,-45.0,-12.0,-32.0,-62.0,-56.0,24.0
Illinois,Cook County,2020-04-17,-52.0,-21.0,-52.0,-64.0,-56.0,26.0
Illinois,Cook County,2020-04-18,-48.0,-12.0,3.0,-49.0,-37.0,15.0
Illinois,Cook County,2020-04-19,-50.0,-19.0,32.0,-57.0,-41.0,12.0
Illinois,Cook County,2020-04-20,-43.0,-19.0,-8.0,-60.0,-55.0,22.0
