Zip,Tested,Positive Cases,Deaths
46324,135,6,N/A
53142,168,7,N/A
60002,622,73,N/A
60004,2644,219,N/A
60005,840,130,N/A
60007,1021,211,N/A
60008,995,220,N/A
60010,847,75,N/A
60012,273,68,N/A
60013,456,69,N/A
60014,1168,141,N/A
60015,894,148,N/A
60016,3119,827,N/A
60018,1461,417,N/A
60020,322,27,N/A
60021,111,17,N/A
60022,270,23,N/A
60025,1626,283,N/A
60026,539,112,N/A
60030,1063,131,N/A
60031,1446,231,N/A
60033,483,109,N/A
60035,1275,194,N/A
60040,266,105,N/A
60041,247,33,N/A
60042,184,20,N/A
60043,114,15,N/A
60044,451,75,N/A
60045,726,103,N/A
60046,926,145,N/A
60047,898,183,N/A
60048,747,93,N/A
60050,971,163,N/A
60051,647,74,N/A
60053,1063,225,N/A
60056,1930,455,N/A
60060,1229,326,N/A
60061,766,138,N/A
60062,1785,250,N/A
60064,1104,514,N/A
60067,1220,138,N/A
60068,1214,250,N/A
60069,329,57,N/A
60070,667,166,N/A
60071,83,7,N/A
60073,2394,680,N/A
60074,1243,274,N/A
60076,1954,392,N/A
60077,1572,321,N/A
60079,37,10,N/A
60081,229,32,N/A
60083,417,80,N/A
60084,439,139,N/A
60085,4917,1912,N/A
60087,1790,492,N/A
60088,95,42,N/A
60089,1013,169,N/A
60090,1809,520,N/A
60091,976,120,N/A
60093,843,123,N/A
60096,211,24,N/A
60097,295,33,N/A
60098,1081,244,N/A
60099,1503,412,N/A
60101,1870,560,N/A
60102,725,102,N/A
60103,1235,190,N/A
60104,1281,346,N/A
60106,1392,394,N/A
60107,1646,425,N/A
60108,1491,187,N/A
60109,276,10,N/A
60110,1255,427,N/A
60112,132,17,N/A
60115,1040,113,N/A
60118,380,48,N/A
60119,295,28,N/A
60120,2478,865,N/A
60123,2102,510,N/A
60124,550,74,N/A
60126,1595,202,N/A
60130,1075,108,N/A
60131,1064,277,N/A
60133,1825,517,N/A
60134,737,104,N/A
