city,transportation_type,date,value
Chicago,driving,2020-01-13,100.0
Chicago,driving,2020-01-14,103.68
Chicago,driving,2020-01-15,104.45
Chicago,driving,2020-01-16,108.72
Chicago,driving,2020-01-17,132.8
Chicago,driving,2020-01-18,113.44
Chicago,driving,2020-01-19,87.48
Chicago,driving,2020-01-20,100.24
Chicago,driving,2020-01-21,101.3
Chicago,driving,2020-01-22,100.51
Chicago,driving,2020-01-23,104.47
Chicago,driving,2020-01-24,121.92
Chicago,driving,2020-01-25,118.55
Chicago,driving,2020-01-26,85.17
Chicago,driving,2020-01-27,93.81
Chicago,driving,2020-01-28,97.36
Chicago,driving,2020-01-29,98.96
Chicago,driving,2020-01-30,103.79
Chicago,driving,2020-01-31,124.37
Chicago,driving,2020-02-01,122.53
Chicago,driving,2020-02-02,85.96
Chicago,driving,2020-02-03,94.62
Chicago,driving,2020-02-04,97.39
Chicago,driving,2020-02-05,102.86
Chicago,driving,2020-02-06,103.66
Chicago,driving,2020-02-07,117.63
Chicago,driving,2020-02-08,124.27
Chicago,driving,2020-02-09,88.41
Chicago,driving,2020-02-10,98.78
Chicago,driving,2020-02-11,105.64
Chicago,driving,2020-02-12,108.54
Chicago,driving,2020-02-13,115.99
Chicago,driving,2020-02-14,147.32
Chicago,driving,2020-02-15,141.24
Chicago,driving,2020-02-16,111.31
Chicago,driving,2020-02-17,111.07
Chicago,driving,2020-02-18,104.69
Chicago,driving,2020-02-19,105.82
Chicago,driving,2020-02-20,110.84
Chicago,driving,2020-02-21,132.55
Chicago,driving,2020-02-22,138.5
Chicago,driving,2020-02-23,100.83
Chicago,driving,2020-02-24,99.41
Chicago,driving,2020-02-25,100.35
Chicago,driving,2020-02-26,103.39
Chicago,driving,2020-02-27,114.33
Chicago,driving,2020-02-28,139.02
Chicago,driving,2020-02-29,142.31
Chicago,driving,2020-03-01,105.39
Chicago,driving,2020-03-02,105.25
Chicago,driving,2020-03-03,108.28
Chicago,driving,2020-03-04,110.71
Chicago,driving,2020-03-05,116.43
Chicago,driving,2020-03-06,137.62
Chicago,driving,2020-03-07,144.91
