stop_id,object_id,route,address,longitude,latitude,zip_code
11953,193,95,92nd Street & Baltimore,-87.54862704,41.72818418,60617
2723,194,79,79th Street & Kilpatrick,-87.73722716,41.74911107,60652
1307,195,74,Fullerton & Kilpatrick,-87.74397363,41.92414302,60639
6696,196,157,Taylor & Throop,-87.65929365,41.86931425,60607
22,197,126,Jackson & Karlov,-87.72780787,41.8770066,60624
4767,198,92,Foster & Monticello,-87.71978,41.975526,60625
6057,199,"9,X9",Ashland & Cermak/Blue Island,-87.66617293,41.85248368,60608
1790,200,22,Clark & Albion,-87.67198065,42.00178504,60626
1847,201,"22,36",Clark & Burton,-87.63171899999999,41.909496999999995,60610
11474,202,84,Ridge & Broadway/Bryn Mawr,-87.66044699999999,41.983932,60660
1368,203,11,Lincoln & Berwyn,-87.692578,41.977713,60625
11877,204,93,California & Devon,-87.69972827,41.99764619,60659
3718,205,"8A,108",Halsted & 115th Street,-87.64227929,41.68519279,60643
5173,206,44,Racine & 60th Street,-87.65469488,41.78513736,60636
5182,207,44,Racine & 68th Street,-87.65434201,41.77057756,60636
7543,208,"34,119",Michigan & 110th Street,-87.62086382,41.6945046,60628
10235,209,54,Cicero & Iowa,-87.74591,41.896936,60651
4525,210,"62,62H",Archer & Major,-87.76464595,41.79544108,60638
5368,211,36,Broadway & Surf,-87.64431034,41.93492829,60657
9925,212,68,Northwest Hwy & Overhill,-87.81870908,42.00432736,60631
9936,213,68,Northwest Hwy & Niagara,-87.8008397,41.99339964,60631
16069,214,54B,Cicero & Pershing,-87.74369328,41.82179553,60804
2259,215,3,King Drive & 90th Street,-87.61445367,41.73096625,60619
14102,216,81,Jefferson Park Transit Center,-87.76185025,41.96984927,60630
7058,217,"N5,6,26,71",S. Shore Drive & 77th Street,-87.55339915,41.75689547,60649
5353,218,36,Broadway & Cullom,-87.654145,41.960081,60613
6488,219,24,Wentworth & Cermak,-87.63191809,41.85269836,60616
5710,220,80,Irving Park & Keystone (Blue Line),-87.72903944,41.95374569,60641
5314,221,"N5,6,15,67",67th Street & East End,-87.58383046,41.77341842,60649
4723,222,126,Jackson & Campbell,-87.68868467,41.87759071,60612
8099,223,47,47th Street & Albany,-87.70140483,41.80822289,60632
237,224,7,Congress & Karlov,-87.72774701,41.87439868,60624
458,225,20,Madison & Peoria,-87.649477,41.8818,60607
9688,226,"81W,91",Lawrence & Menard,-87.772711,41.967760999999996,60630
10122,227,67,71st Street & Spaulding,-87.7052,41.764399,60629
335,228,12,Roosevelt & May,-87.65499111,41.86711341,60608
9749,229,81W,Lawrence & Prospect,-87.83101847,41.96676517,60706
7997,230,43,43rd Street & Cottage Grove,-87.60657472,41.81688172,60653
9517,231,87,87th Street & Albany,-87.69960034,41.7353777,60652
7586,232,34,131st Street & Rhodes,-87.609601,41.657499,60827
4132,233,73,4600 W Armitage,-87.74183673,41.91705044,60639
14681,234,201,Central Street & Ridge,-87.68329,42.064170000000004,60201
9687,235,"81W,91",Lawrence & Major,-87.77006899999999,41.967801,60630
5379,236,36,State & Huron,-87.628241,41.895007,60654
12609,237,152,Addison & Melvina,-87.78122829,41.94575459,60634
9314,238,77,Belmont & Central Park,-87.71726747,41.93927553,60618
14523,239,66,Chicago & Hamlin,-87.72134984,41.89548807,60651
12574,240,152,Addison & California,-87.69785558,41.94674469,60618
1543,241,15,51st Street & Indiana,-87.62093295,41.80210347,60615
6846,242,21,Cermak & Archer,-87.63427349999999,41.85294079,60616
15316,243,35,35th Street & Michigan,-87.62369993,41.83109973,60616
367,244,12,Roosevelt & Keeler,-87.72995235,41.86618436,60624
17019,245,77,Belmont & Central,-87.76677666,41.93863989,60634
15337,246,65,Grand & Menard,-87.77091308,41.91975665,60639
6859,247,21,Cermak & Throop,-87.65859158,41.85250609,60608
7590,248,"34,108",127th Street & Michigan,-87.61978427,41.66354445,60628
