"Park_No","Park_Name","Facility_Type","Longitude","Latitude","Zip_codeid"
9,"Hamilton (Alexander)","Cultural Center",-87.63769763,41.76299921,"60621"
9,"Hamilton (Alexander)","Gymnasium",-87.63792903,41.76281652,"60621"
9,"Hamilton (Alexander)","Baseball Jr/Softball",-87.6369136,41.76084939,"60621"
9,"Hamilton (Alexander)","Baseball Jr/Softball",-87.63832013,41.76200536,"60621"
9,"Hamilton (Alexander)","Baseball Jr/Softball",-87.63805917,41.76047385,"60621"
9,"Hamilton (Alexander)","Baseball Jr/Softball",-87.63674047,41.76111277,"60621"
9,"Hamilton (Alexander)","Pool (Outdoor)",-87.6359055,41.76192462,"60621"
9,"Hamilton (Alexander)","Playground",-87.63686292,41.76261984,"60621"
9,"Hamilton (Alexander)","Spray Feature",-87.63660515,41.76312825,"60621"
9,"Hamilton (Alexander)","Baseball Sr",-87.63842975,41.76119856,"60621"
9,"Hamilton (Alexander)","Baseball Sr",-87.63700302,41.76191238,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63562215,41.76304673,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63583037,41.76303855,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63601325,41.76303966,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63617087,41.76304534,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63634114,41.76304637,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63635087,41.76273006,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63616168,41.76272891,"60621"
9,"Hamilton (Alexander)","Tennis Court",-87.63599771,41.76272792,"60621"
106,"Hamlin (Hannibal)","Basketball Court",-87.68030436,41.93675715,"60618"
106,"Hamlin (Hannibal)","Football/Soccer Combo Fld",-87.67917787,41.93654865,"60618"
106,"Hamlin (Hannibal)","Dog Friendly Area",-87.6803291,41.93604308,"60618"
106,"Hamlin (Hannibal)","Fitness Center",-87.67982968,41.93748111,"60618"
106,"Hamlin (Hannibal)","Gymnasium",-87.68024831,41.93708948,"60618"
106,"Hamlin (Hannibal)","Baseball Jr/Softball",-87.67866498,41.93696155,"60618"
106,"Hamlin (Hannibal)","Baseball Jr/Softball",-87.67962215,41.9362163,"60618"
106,"Hamlin (Hannibal)","Pool (Outdoor)",-87.68022838,41.93736145,"60618"
106,"Hamlin (Hannibal)","Playground",-87.67930194,41.93748911,"60618"
106,"Hamlin (Hannibal)","Baseball Sr",-87.67961856,41.93690964,"60618"
106,"Hamlin (Hannibal)","Baseball Sr",-87.67866522,41.93625516,"60618"
106,"Hamlin (Hannibal)","Tennis Court",-87.6803932,41.9362624,"60618"
106,"Hamlin (Hannibal)","Tennis Court",-87.68021162,41.93626658,"60618"
1111,"Hansberry (Lorraine)","Playground Park",-87.62029752,41.79189638,"60637"
1106,"Harding (Frederick)","Playground Park",-87.72480189,41.90240853,"60651"
1033,"Harding (George)","Basketball Court",-87.61835789,41.80501455,"60615"
1033,"Harding (George)","Playground",-87.61836672,41.80554793,"60615"
1033,"Harding (George)","Volleyball",-87.61843219,41.80521388,"60615"
524,"Harris (Harriet)","Fitness Center",-87.60489798,41.78173674,"60637"
524,"Harris (Harriet)","Gymnasium",-87.60471883,41.78152949,"60637"
524,"Harris (Harriet)","Pool (Indoor)",-87.60502579,41.78187183,"60637"
524,"Harris (Harriet)","Playground",-87.6045968,41.78210575,"60637"
1225,"Harris (Ryan) Memorial","Playground",-87.64006584,41.77193031,"60621"
1225,"Harris (Ryan) Memorial","Spray Feature",-87.63986646,41.77211472,"60621"
213,"Harrison (Carter)","Basketball Court",-87.67161219,41.85742609,"60608"
213,"Harrison (Carter)","Basketball Court",-87.67187495,41.85741698,"60608"
213,"Harrison (Carter)","Football/Soccer Combo Fld",-87.6747192,41.8568405,"60608"
213,"Harrison (Carter)","Gymnasium",-87.67185384,41.85698552,"60608"
213,"Harrison (Carter)","Gymnastic Center",-87.67173914,41.85673499,"60608"
213,"Harrison (Carter)","Horseshoe Court",-87.67225337,41.85709776,"60608"
213,"Harrison (Carter)","Pool (Indoor)",-87.67223207,41.85679496,"60608"
213,"Harrison (Carter)","Baseball Jr/Softball",-87.67378645,41.85723692,"60608"
213,"Harrison (Carter)","Baseball Jr/Softball",-87.67324472,41.8574514,"60608"
213,"Harrison (Carter)","Baseball Sr",-87.67270583,41.85743973,"60608"
213,"Harrison (Carter)","Baseball Sr",-87.67317553,41.85658593,"60608"
213,"Harrison (Carter)","Playground",-87.67131359,41.85609226,"60608"
213,"Harrison (Carter)","Baseball Sr",-87.67381811,41.85622873,"60608"
213,"Harrison (Carter)","Baseball Sr",-87.67541555,41.85621136,"60608"
213,"Harrison (Carter)","Tennis Court",-87.672386,41.85742523,"60608"
213,"Harrison (Carter)","Tennis Court",-87.67220848,41.85742952,"60608"
324,"Harsh (Vivian G.)","Playground Park",-87.59550718,41.81385391,"60653"
324,"Harsh (Vivian G.)","Spray Feature",-87.59550519,41.81395597,"60653"
1248,"Hartigan (David) Beach","Beach",-87.65674341,42.0023844,"60626"
1248,"Hartigan (David) Beach","Playground",-87.65769376,42.002272,"60626"
294,"Hasan (Elliot)","Playground Park",-87.56772978,41.77005501,"60649"
242,"Hayes (Francis)","Football/Soccer Combo Fld",-87.69661314,41.74126302,"60652"
242,"Hayes (Francis)","Football/Soccer Combo Fld",-87.69688518,41.74034536,"60652"
242,"Hayes (Francis)","Fitness Center",-87.69692507,41.73903754,"60652"
242,"Hayes (Francis)","Gymnasium",-87.69681679,41.73907734,"60652"
242,"Hayes (Francis)","Pool (Indoor)",-87.69732977,41.73902463,"60652"
242,"Hayes (Francis)","Baseball Jr/Softball",-87.6963068,41.73985037,"60652"
242,"Hayes (Francis)","Baseball Jr/Softball",-87.6963458,41.7407092,"60652"
242,"Hayes (Francis)","Baseball Jr/Softball",-87.69599423,41.74127628,"60652"
242,"Hayes (Francis)","Baseball Jr/Softball",-87.6974331,41.740512,"60652"
242,"Hayes (Francis)","Playground",-87.69587776,41.74207837,"60652"
242,"Hayes (Francis)","Spray Feature",-87.69587208,41.74196656,"60652"
242,"Hayes (Francis)","Baseball Sr",-87.69732348,41.74130905,"60652"
242,"Hayes (Francis)","Baseball Sr",-87.69738037,41.73966833,"60652"
242,"Hayes (Francis)","Volleyball",-87.69792353,41.73936333,"60652"
417,"Hazelnut","Playground Park",-87.77409637,41.89247587,"60644"
1008,"Hermitage","Basketball Court",-87.6682898,41.7873815,"60636"
1008,"Hermitage","Football/Soccer Combo Fld",-87.66773673,41.78716985,"60636"
1008,"Hermitage","Baseball Jr/Softball",-87.66722031,41.78698944,"60636"
1008,"Hermitage","Playground",-87.66865579,41.78701485,"60636"
1008,"Hermitage","Spray Feature",-87.66869301,41.78689225,"60636"
1008,"Hermitage","Volleyball",-87.66901381,41.78741988,"60636"
125,"Hermosa","Basketball Court",-87.7398533,41.92181634,"60639"
125,"Hermosa","Football/Soccer Combo Fld",-87.74075115,41.92202247,"60639"
125,"Hermosa","Baseball Jr/Softball",-87.74049211,41.92235892,"60639"
125,"Hermosa","Playground",-87.73983511,41.92224395,"60639"
125,"Hermosa","Spray Feature",-87.7394882,41.92244671,"60639"
125,"Hermosa","Baseball Sr",-87.74112712,41.9217751,"60639"
125,"Hermosa","Volleyball",-87.73961892,41.92177528,"60639"
229,"Hiawatha","Football/Soccer Combo Fld",-87.82516965,41.94403128,"60634"
229,"Hiawatha","Fitness Center",-87.82767308,41.9436835,"60634"
229,"Hiawatha","Gymnasium",-87.82730965,41.94383791,"60634"
229,"Hiawatha","Bocce Court",-87.82767214,41.94341247,"60634"
229,"Hiawatha","Baseball Jr/Softball",-87.82806712,41.9432256,"60634"
229,"Hiawatha","Playground",-87.82843575,41.94327491,"60634"
229,"Hiawatha","Sport Roller Court",-87.82642629,41.9434197,"60634"
229,"Hiawatha","Spray Feature",-87.82870557,41.9432549,"60634"
229,"Hiawatha","Baseball Sr",-87.82449514,41.94353301,"60634"
229,"Hiawatha","Baseball Sr",-87.82591456,41.9435181,"60634"
229,"Hiawatha","Baseball Sr",-87.82450842,41.94453971,"60634"
229,"Hiawatha","Baseball Sr",-87.82595071,41.94432887,"60634"
229,"Hiawatha","Tennis Court",-87.8263007,41.94404432,"60634"
229,"Hiawatha","Tennis Court",-87.82647101,41.94404507,"60634"
299,"Hickory","Playground Park",-87.65809605,41.97016472,"60640"
387,"Hoard (Edison)","Basketball Court",-87.5988259,41.76394295,"60619"
387,"Hoard (Edison)","Basketball Court",-87.59912039,41.76393923,"60619"
387,"Hoard (Edison)","Baseball Jr/Softball",-87.59833178,41.7635101,"60619"
387,"Hoard (Edison)","Playground",-87.59906509,41.76353721,"60619"
387,"Hoard (Edison)","Spray Feature",-87.59903135,41.76365096,"60619"
325,"Holly","Playground Park",-87.60357716,41.82046189,"60653"
325,"Holly","Spray Feature",-87.60324808,41.82055472,"60653"
75,"Hollywood","Basketball Court",-87.71109726,41.98915917,"60659"
75,"Hollywood","Baseball Jr/Softball",-87.71110463,41.98963681,"60659"
75,"Hollywood","Baseball Jr/Softball",-87.71179769,41.99007107,"60659"
75,"Hollywood","Playground",-87.71093912,41.98873229,"60659"
75,"Hollywood","Spray Feature",-87.71116582,41.98890842,"60659"
75,"Hollywood","Tennis Court",-87.71239899,41.98912362,"60659"
203,"Holstein","Gymnasium",-87.68530249,41.92171954,"60647"
203,"Holstein","Pool (Outdoor)",-87.68509852,41.92198798,"60647"
203,"Holstein","Playground",-87.68500275,41.92241734,"60647"
203,"Holstein","Baseball Sr",-87.68490413,41.92145584,"60647"
203,"Holstein","Spray Feature",-87.68486455,41.92214927,"60647"
1108,"Homan (Joseph)","Playground Park",-87.71045056,41.85225732,"60623"
351,"Honeysuckle","Playground Park",-87.60990004,41.81014609,"60653"
1035,"Horan (Albert)","Basketball Court",-87.70322393,41.87566198,"60612"
1035,"Horan (Albert)","Baseball Jr/Softball",-87.70453462,41.87562959,"60612"
1035,"Horan (Albert)","Playground",-87.70267204,41.87570181,"60612"
1035,"Horan (Albert)","Spray Feature",-87.70239909,41.87564096,"60612"
353,"Hornbeam","Playground Park",-87.72058354,41.86187275,"60623"
353,"Hornbeam","Spray Feature",-87.72044118,41.8619765,"60623"
228,"Horner (Henry)","Basketball Court",-87.69646967,41.96088239,"60618"
228,"Horner (Henry)","Basketball Court",-87.69673477,41.96087444,"60618"
228,"Horner (Henry)","Football/Soccer Combo Fld",-87.69635954,41.95819308,"60618"
228,"Horner (Henry)","Football/Soccer Combo Fld",-87.69620727,41.95548711,"60618"
228,"Horner (Henry)","Gymnasium",-87.69763884,41.96062148,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69730542,41.9580612,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69713743,41.95845589,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69593628,41.95868471,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69544846,41.95824871,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69541915,41.95739138,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69542206,41.9570994,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69539256,41.95626091,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69537005,41.95598762,"60618"
228,"Horner (Henry)","Baseball Jr/Softball",-87.69555544,41.95511264,"60618"
228,"Horner (Henry)","Playground",-87.69797944,41.96008069,"60618"
228,"Horner (Henry)","Baseball Sr",-87.69676728,41.95507227,"60618"
228,"Horner (Henry)","Baseball Sr",-87.6971057,41.95657183,"60618"
228,"Horner (Henry)","Tennis Court",-87.69605294,41.96090833,"60618"
228,"Horner (Henry)","Tennis Court",-87.69572483,41.96090651,"60618"
228,"Horner (Henry)","Tennis Court",-87.69780044,41.95904356,"60618"
228,"Horner (Henry)","Tennis Court",-87.69761106,41.95905193,"60618"
228,"Horner (Henry)","Tennis Court",-87.69622961,41.96090931,"60618"
228,"Horner (Henry)","Tennis Court",-87.6959016,41.96089807,"60618"
278,"Houston (Jessie ""Ma"")","Basketball Court",-87.60562888,41.80355686,"60615"
278,"Houston (Jessie ""Ma"")","Basketball Court",-87.60536516,41.80356199,"60615"
278,"Houston (Jessie ""Ma"")","Playground",-87.60473456,41.80385051,"60615"
1256,"Howard (Ure) Beach","Playground",-87.6642486,42.01907479,"60626"
1036,"Hoyne (Thomas)","Basketball Court",-87.67851428,41.83127525,"60608"
1036,"Hoyne (Thomas)","Football/Soccer Combo Fld",-87.67812366,41.83183544,"60608"
1036,"Hoyne (Thomas)","Baseball Jr/Softball",-87.67851268,41.83164047,"60608"
1036,"Hoyne (Thomas)","Playground",-87.6787647,41.83128621,"60608"
1036,"Hoyne (Thomas)","Volleyball",-87.67874134,41.83191172,"60608"
1109,"Hubbard (Gurdon)","Basketball Court",-87.75013514,41.88898444,"60644"
1109,"Hubbard (Gurdon)","Playground",-87.74983729,41.8888166,"60644"
336,"Huckleberry","Playground Park",-87.59523563,41.78220632,"60637"
1121,"Humbert (James)","Playground Park",-87.64299258,41.83834695,"60616"
219,"Humboldt (Alexander Von)","Artificial Turf Field",-87.70307104,41.90090963,"60622"
219,"Humboldt (Alexander Von)","Basketball Court",-87.70511677,41.90013676,"60622"
219,"Humboldt (Alexander Von)","Basketball Court",-87.7048646,41.90014793,"60622"
219,"Humboldt (Alexander Von)","Basketball Court",-87.69979418,41.90920487,"60647"
219,"Humboldt (Alexander Von)","Beach",-87.70370289,41.90636508,"60622"
219,"Humboldt (Alexander Von)","Casting Pier",-87.69887351,41.90683123,"60647"
219,"Humboldt (Alexander Von)","Fitness Center",-87.70309497,41.90715886,"60622"
219,"Humboldt (Alexander Von)","Garden",-87.70291211,41.9038275,"60622"
219,"Humboldt (Alexander Von)","Garden",-87.69936549,41.90636319,"60647"
219,"Humboldt (Alexander Von)","Gymnasium",-87.70268407,41.90706431,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70379438,41.90902697,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70336641,41.90896813,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70203548,41.90844612,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70255285,41.90795937,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70359307,41.90813456,"60622"
219,"Humboldt (Alexander Von)","Baseball Sr",-87.7052354,41.90603452,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70137401,41.90462929,"60647"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70069407,41.90456278,"60647"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70074116,41.90404833,"60647"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70148961,41.90398341,"60647"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70453659,41.90532141,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70523323,41.90197024,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70420637,41.90129927,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.70554749,41.9007668,"60622"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.69840235,41.90900961,"60647"
219,"Humboldt (Alexander Von)","Baseball Jr/Softball",-87.6992722,41.90850681,"60647"
219,"Humboldt (Alexander Von)","Pool (Outdoor)",-87.70366869,41.89872908,"60622"
219,"Humboldt (Alexander Von)","Playground",-87.69988668,41.90973988,"60647"
219,"Humboldt (Alexander Von)","Playground",-87.6993149,41.90807963,"60647"
219,"Humboldt (Alexander Von)","Playground",-87.70599857,41.90360955,"60622"
219,"Humboldt (Alexander Von)","Playground",-87.70338194,41.8988405,"60622"
219,"Humboldt (Alexander Von)","Volleyball (Sand)",-87.69812621,41.90592951,"60647"
219,"Humboldt (Alexander Von)","Spray Feature",-87.6995506,41.90803699,"60647"
